country,state,city,ts,pm25
Argentina,Buenos Aires,Buenos Aires,2016-12-29,14.4
Argentina,Buenos Aires,Buenos Aires,2016-12-30,12.2
Argentina,Buenos Aires,Buenos Aires,2016-12-31,11.0
Argentina,Buenos Aires,Buenos Aires,2017-01-01,10.0
Argentina,Buenos Aires,Buenos Aires,2017-01-02,42.9
Argentina,Buenos Aires,Buenos Aires,2017-01-03,14.6
Argentina,Buenos Aires,Buenos Aires,2017-01-04,22.8
Argentina,Buenos Aires,Buenos Aires,2017-01-05,37.1
Argentina,Buenos Aires,Buenos Aires,2017-01-06,21.8
Argentina,Buenos Aires,Buenos Aires,2017-01-07,23.9
Argentina,Buenos Aires,Buenos Aires,2017-01-08,24.2
Argentina,Buenos Aires,Buenos Aires,2017-01-09,66.5
Argentina,Buenos Aires,Buenos Aires,2017-01-10,6.4
Argentina,Buenos Aires,Buenos Aires,2017-01-11,8.8
Argentina,Buenos Aires,Buenos Aires,2017-01-12,14.0
Argentina,Buenos Aires,Buenos Aires,2017-01-13,25.1
Argentina,Buenos Aires,Buenos Aires,2017-01-14,13.8
Argentina,Buenos Aires,Buenos Aires,2017-01-15,27.0
Argentina,Buenos Aires,Buenos Aires,2017-01-16,27.2
Argentina,Buenos Aires,Buenos Aires,2017-01-17,21.1
Argentina,Buenos Aires,Buenos Aires,2017-01-18,22.6
Argentina,Buenos Aires,Buenos Aires,2017-01-19,14.7
Argentina,Buenos Aires,Buenos Aires,2017-01-20,22.5
Argentina,Buenos Aires,Buenos Aires,2017-01-21,17.2
Argentina,Buenos Aires,Buenos Aires,2017-01-22,17.3
Argentina,Buenos Aires,Buenos Aires,2017-01-23,16.2
Argentina,Buenos Aires,Buenos Aires,2017-01-24,18.9
Argentina,Buenos Aires,Buenos Aires,2017-01-25,12.1
Argentina,Buenos Aires,Buenos Aires,2017-01-26,17.1
Argentina,Buenos Aires,Buenos Aires,2017-01-27,16.8
Argentina,Buenos Aires,Buenos Aires,2017-01-28,11.0
Argentina,Buenos Aires,Buenos Aires,2017-01-29,12.6
Argentina,Buenos Aires,Buenos Aires,2017-01-30,12.2
Argentina,Buenos Aires,Buenos Aires,2017-01-31,11.6
Argentina,Buenos Aires,Buenos Aires,2017-02-01,6.0
Argentina,Buenos Aires,Buenos Aires,2017-02-02,11.1
Argentina,Buenos Aires,Buenos Aires,2017-02-03,14.5
Argentina,Buenos Aires,Buenos Aires,2017-02-04,8.6
Argentina,Buenos Aires,Buenos Aires,2017-02-05,3.4
Argentina,Buenos Aires,Buenos Aires,2017-02-06,9.1
Argentina,Buenos Aires,Buenos Aires,2017-02-07,32.2
Argentina,Buenos Aires,Buenos Aires,2017-02-08,13.4
Argentina,Buenos Aires,Buenos Aires,2017-02-09,21.1
Argentina,Buenos Aires,Buenos Aires,2017-02-10,81.1
Argentina,Buenos Aires,Buenos Aires,2017-02-11,8.3
Argentina,Buenos Aires,Buenos Aires,2017-02-12,14.4
Argentina,Buenos Aires,Buenos Aires,2017-02-13,23.1
Argentina,Buenos Aires,Buenos Aires,2017-02-14,5.0
Argentina,Buenos Aires,Buenos Aires,2017-02-15,12.7
Argentina,Buenos Aires,Buenos Aires,2017-02-16,15.9
Argentina,Buenos Aires,Buenos Aires,2017-02-17,12.5
Argentina,Buenos Aires,Buenos Aires,2017-02-18,7.5
Argentina,Buenos Aires,Buenos Aires,2017-02-19,12.7
Argentina,Buenos Aires,Buenos Aires,2017-02-20,9.8
Argentina,Buenos Aires,Buenos Aires,2017-02-21,12.5
Argentina,Buenos Aires,Buenos Aires,2017-02-22,12.8
Argentina,Buenos Aires,Buenos Aires,2017-02-23,48.7
Argentina,Buenos Aires,Buenos Aires,2017-02-24,24.8
Argentina,Buenos Aires,Buenos Aires,2017-02-25,22.5
Argentina,Buenos Aires,Buenos Aires,2017-02-26,13.1
Argentina,Buenos Aires,Buenos Aires,2017-02-27,7.1
Argentina,Buenos Aires,Buenos Aires,2017-02-28,14.2
Argentina,Buenos Aires,Buenos Aires,2017-03-01,17.1
Argentina,Buenos Aires,Buenos Aires,2017-03-02,29.4
Argentina,Buenos Aires,Buenos Aires,2017-03-03,12.4
Argentina,Buenos Aires,Buenos Aires,2017-03-04,13.3
Argentina,Buenos Aires,Buenos Aires,2017-03-05,10.9
Argentina,Buenos Aires,Buenos Aires,2017-03-06,10.0
Argentina,Buenos Aires,Buenos Aires,2017-03-07,28.2
Argentina,Buenos Aires,Buenos Aires,2017-03-08,24.7
Argentina,Buenos Aires,Buenos Aires,2017-03-09,6.6
Argentina,Buenos Aires,Buenos Aires,2017-03-10,12.5
Argentina,Buenos Aires,Buenos Aires,2017-03-11,23.2
Argentina,Buenos Aires,Buenos Aires,2017-03-12,9.1
Argentina,Buenos Aires,Buenos Aires,2017-03-14,18.5
Argentina,Buenos Aires,Buenos Aires,2017-03-15,16.3
Argentina,Buenos Aires,Buenos Aires,2017-03-16,8.0
Argentina,Buenos Aires,Buenos Aires,2017-03-17,31.8
Argentina,Buenos Aires,Buenos Aires,2017-03-18,13.2
Argentina,Buenos Aires,Buenos Aires,2017-03-19,8.9
Argentina,Buenos Aires,Buenos Aires,2017-03-20,24.1
Argentina,Buenos Aires,Buenos Aires,2017-03-21,20.0
Argentina,Buenos Aires,Buenos Aires,2017-03-22,20.3
Argentina,Buenos Aires,Buenos Aires,2017-03-23,10.9
Argentina,Buenos Aires,Buenos Aires,2017-03-24,33.5
Argentina,Buenos Aires,Buenos Aires,2017-03-25,15.2
Argentina,Buenos Aires,Buenos Aires,2017-03-26,8.4
Argentina,Buenos Aires,Buenos Aires,2017-03-27,16.3
Argentina,Buenos Aires,Buenos Aires,2017-03-28,14.8
Argentina,Buenos Aires,Buenos Aires,2017-03-29,23.2
Argentina,Buenos Aires,Buenos Aires,2017-03-30,19.6
Argentina,Buenos Aires,Buenos Aires,2017-03-31,16.6
Argentina,Buenos Aires,Buenos Aires,2017-04-01,10.1
Argentina,Buenos Aires,Buenos Aires,2017-04-02,15.2
Argentina,Buenos Aires,Buenos Aires,2017-04-03,9.2
Argentina,Buenos Aires,Buenos Aires,2017-04-04,17.6
Argentina,Buenos Aires,Buenos Aires,2017-04-05,31.4
Argentina,Buenos Aires,Buenos Aires,2017-04-06,12.0
Argentina,Buenos Aires,Buenos Aires,2017-04-07,14.5
Argentina,Buenos Aires,Buenos Aires,2017-04-08,41.1
Argentina,Buenos Aires,Buenos Aires,2017-04-09,27.6
Argentina,Buenos Aires,Buenos Aires,2017-04-10,2.0
Argentina,Buenos Aires,Buenos Aires,2017-04-11,7.7
Argentina,Buenos Aires,Buenos Aires,2017-04-12,15.6
Argentina,Buenos Aires,Buenos Aires,2017-04-13,13.4
Argentina,Buenos Aires,Buenos Aires,2017-04-14,5.0
Argentina,Buenos Aires,Buenos Aires,2017-04-15,6.0
Argentina,Buenos Aires,Buenos Aires,2017-04-16,6.7
Argentina,Buenos Aires,Buenos Aires,2017-04-17,11.4
Argentina,Buenos Aires,Buenos Aires,2017-04-18,10.6
Argentina,Buenos Aires,Buenos Aires,2017-04-19,2.9
Argentina,Buenos Aires,Buenos Aires,2017-04-20,20.0
Argentina,Buenos Aires,Buenos Aires,2017-04-21,14.5
Argentina,Buenos Aires,Buenos Aires,2017-04-22,17.8
Argentina,Buenos Aires,Buenos Aires,2017-04-23,11.9
Argentina,Buenos Aires,Buenos Aires,2017-04-24,5.4
Argentina,Buenos Aires,Buenos Aires,2017-04-25,24.7
Argentina,Buenos Aires,Buenos Aires,2017-04-26,4.3
Argentina,Buenos Aires,Buenos Aires,2017-04-27,10.8
Argentina,Buenos Aires,Buenos Aires,2017-04-28,11.7
Argentina,Buenos Aires,Buenos Aires,2017-04-29,16.3
Argentina,Buenos Aires,Buenos Aires,2017-04-30,9.0
Argentina,Buenos Aires,Buenos Aires,2017-05-02,5.7
Argentina,Buenos Aires,Buenos Aires,2017-05-03,25.0
Argentina,Buenos Aires,Buenos Aires,2017-05-04,12.7
Argentina,Buenos Aires,Buenos Aires,2017-05-05,9.3
Argentina,Buenos Aires,Buenos Aires,2017-05-06,4.2
Argentina,Buenos Aires,Buenos Aires,2017-05-07,2.5
Argentina,Buenos Aires,Buenos Aires,2017-05-08,3.9
