location_id,poll,change_observed,change_dew,change_str_observed,change_str_dew
Kano,pm25,0.5719336797889875,-0.7235170547218238,+57%,-72%
Beijing,pm25,-0.11204052841985623,-0.5092212001494046,-11%,-51%
Lahore,pm25,-0.10789850404774465,-0.24635350731502695,-11%,-25%
Wuhan,pm25,-0.1810194142595137,-0.2322814195063863,-18%,-23%
Manama,pm25,-0.1297986451341507,-0.22172799380203376,-13%,-22%
Kampala,pm25,-0.1364204115702529,-0.21383457847005444,-14%,-21%
Buenos Aires,pm25,-0.20066519762955481,-0.18852976830078383,-20%,-19%
Tokyo,pm25,-0.14359960476598352,-0.1878910341076531,-14%,-19%
Delhi,pm25,-0.1314648823965686,-0.16134209863606574,-13%,-16%
Kathmandu,pm25,-0.18104494597065016,-0.15966660139430602,-18%,-16%
Bangkok,pm25,-0.1090627920967153,-0.1461371328960245,-11%,-15%
Mumbai,pm25,-0.12266603133986662,-0.14489022070899554,-12%,-14%
London,pm25,-0.17289389351755077,-0.1427707442762422,-17%,-14%
Kuwait City,pm25,-0.11253808174972009,-0.13701646517473187,-11%,-14%
Singapore,pm25,-0.3741954225953816,-0.13351292802014691,-37%,-13%
Santiago,pm25,-0.15942183094548082,-0.12591713310846497,-16%,-13%
Wroclaw,pm25,-0.08053603004574088,-0.12298084091690444,-8%,-12%
Paris,pm25,-0.1698390281945142,-0.11833080679415611,-17%,-12%
Tel Aviv-Yafo,pm25,-0.2296614863966927,-0.09495659207582705,-23%,-9%
Dubai,pm25,-0.014434902827505045,-0.07992369421261444,-1%,-8%
Taipei,pm25,-0.09352407264494214,-0.0741799885161996,-9%,-7%
Sao Paulo,pm25,-0.07961599787310562,-0.0380876784047722,-8%,-4%
Dhaka,pm25,-0.07550661301365022,-0.03229313436067231,-8%,-3%
Johannesburg,pm25,-0.09856168155765599,-0.021753110944175987,-10%,-2%
Seoul,pm25,-0.1492400140346645,-0.01874654684649743,-15%,-2%
Los Angeles,pm25,0.17421338671559322,0.04177006694357136,+17%,+4%
Hanoi,pm25,-0.14289992746039182,0.08431535726862549,-14%,+8%
Chicago,pm25,-0.09503254981663058,0.1057014888839014,-10%,+11%
Jakarta,pm25,-0.21240595871839987,0.124958500072324,-21%,+12%
Melbourne,pm25,0.2667169169712013,0.1827539014302283,+27%,+18%
Berlin,pm25,0.007787016828886124,0.24859492847270714,+1%,+25%
Bogota,pm25,0.14536524510865953,0.2838008026303318,+15%,+28%
Krasnoyarsk,pm25,-0.1694121116488296,NA,-17%,NA
