location_id,poll,change_observed,change_dew,change_str_observed,change_str_dew
Kano,pm25,0.5719336797889875,-0.6373348410823194,+57%,-64%
Singapore,pm25,-0.3741954225953816,-0.24531505602937,-37%,-25%
Beijing,pm25,-0.11204052841985623,-0.23400376897217864,-11%,-23%
Bangkok,pm25,-0.1090627920967153,-0.1981169987649556,-11%,-20%
Buenos Aires,pm25,-0.20066519762955481,-0.18305005384902429,-20%,-18%
Wroclaw,pm25,-0.08053603004574088,-0.1805274344000982,-8%,-18%
Kathmandu,pm25,-0.18104494597065016,-0.1717979613322752,-18%,-17%
Tokyo,pm25,-0.14359960476598352,-0.16882626717795482,-14%,-17%
Delhi,pm25,-0.1314648823965686,-0.16272928391497324,-13%,-16%
Tel Aviv-Yafo,pm25,-0.2296614863966927,-0.1544628795173924,-23%,-15%
London,pm25,-0.17289389351755077,-0.14736724888413885,-17%,-15%
Lahore,pm25,-0.10789850404774465,-0.1465853496609225,-11%,-15%
Santiago,pm25,-0.15942183094548082,-0.14384199665636743,-16%,-14%
Paris,pm25,-0.1698390281945142,-0.13891050328286203,-17%,-14%
Dhaka,pm25,-0.07550661301365022,-0.12984291888371013,-8%,-13%
Mumbai,pm25,-0.12266603133986662,-0.12654355123550604,-12%,-13%
Wuhan,pm25,-0.1810194142595137,-0.12479753867342258,-18%,-12%
Manama,pm25,-0.1297986451341507,-0.12268683072089683,-13%,-12%
Jakarta,pm25,-0.21240595871839987,-0.11488930856776185,-21%,-11%
Taipei,pm25,-0.09352407264494214,-0.10814068630218308,-9%,-11%
Kampala,pm25,-0.1364204115702529,-0.1032739590072358,-14%,-10%
Seoul,pm25,-0.1492400140346645,-0.09283390240539817,-15%,-9%
Johannesburg,pm25,-0.09856168155765599,-0.08773933782108695,-10%,-9%
Chicago,pm25,-0.09503254981663058,-0.08502172900487397,-10%,-9%
Hanoi,pm25,-0.14289992746039182,-0.07600669994485691,-14%,-8%
Kuwait City,pm25,-0.11253808174972009,-0.0442783810601506,-11%,-4%
Dubai,pm25,-0.014434902827505045,-0.02258048642384754,-1%,-2%
Los Angeles,pm25,0.17421338671559322,0.007437495697452929,+17%,+1%
Melbourne,pm25,0.2667169169712013,0.007529309353408952,+27%,+1%
Sao Paulo,pm25,-0.07961599787310562,0.048879205310969856,-8%,+5%
Berlin,pm25,0.007787016828886124,0.06088768846427503,+1%,+6%
Bogota,pm25,0.14536524510865953,0.11987615211526934,+15%,+12%
Krasnoyarsk,pm25,-0.1694121116488296,NA,-17%,NA
