location_id,poll,change_observed,change_dew,change_str_observed,change_str_dew
Kano,pm25,0.5719336797889875,-0.6301290771103958,+57%,-63%
Beijing,pm25,-0.11204052841985623,-0.2363704459556791,-11%,-24%
Buenos Aires,pm25,-0.20066519762955481,-0.23091522809348916,-20%,-23%
Singapore,pm25,-0.3741954225953816,-0.2087139140911748,-37%,-21%
Bangkok,pm25,-0.1090627920967153,-0.1865032325988825,-11%,-19%
Delhi,pm25,-0.1314648823965686,-0.16779230302680923,-13%,-17%
Lahore,pm25,-0.10789850404774465,-0.16587281368800175,-11%,-17%
Kathmandu,pm25,-0.18104494597065016,-0.16277438519562917,-18%,-16%
Wroclaw,pm25,-0.08053603004574088,-0.15258937587739405,-8%,-15%
Tel Aviv-Yafo,pm25,-0.2296614863966927,-0.14947347120188345,-23%,-15%
Santiago,pm25,-0.15942183094548082,-0.14483729742775847,-16%,-14%
Mumbai,pm25,-0.12266603133986662,-0.1440977871404173,-12%,-14%
Tokyo,pm25,-0.14359960476598352,-0.13954083621569918,-14%,-14%
Paris,pm25,-0.1698390281945142,-0.13464270424103372,-17%,-13%
London,pm25,-0.17289389351755077,-0.13208855017189877,-17%,-13%
Dhaka,pm25,-0.07550661301365022,-0.13052531024426992,-8%,-13%
Wuhan,pm25,-0.1810194142595137,-0.12879209359904076,-18%,-13%
Kampala,pm25,-0.1364204115702529,-0.11643922060079545,-14%,-12%
Taipei,pm25,-0.09352407264494214,-0.11606138983180193,-9%,-12%
Jakarta,pm25,-0.21240595871839987,-0.11004308969049677,-21%,-11%
Manama,pm25,-0.1297986451341507,-0.10984398599000122,-13%,-11%
Chicago,pm25,-0.09503254981663058,-0.1005091717934875,-10%,-10%
Johannesburg,pm25,-0.09856168155765599,-0.09027530004250231,-10%,-9%
Seoul,pm25,-0.1492400140346645,-0.06796493314109386,-15%,-7%
Hanoi,pm25,-0.14289992746039182,-0.06539120957321091,-14%,-7%
Kuwait City,pm25,-0.11253808174972009,-0.03618620347414018,-11%,-4%
Dubai,pm25,-0.014434902827505045,-0.03353676342308106,-1%,-3%
Los Angeles,pm25,0.17421338671559322,-0.019985205760875816,+17%,-2%
Melbourne,pm25,0.2667169169712013,0.010840332921070246,+27%,+1%
Sao Paulo,pm25,-0.07961599787310562,0.020370431743443624,-8%,+2%
Berlin,pm25,0.007787016828886124,0.08899586495825436,+1%,+9%
Bogota,pm25,0.14536524510865953,0.12323949426432743,+15%,+12%
Krasnoyarsk,pm25,-0.1694121116488296,NA,-17%,NA
